review_id,agg_mean,features_n
R1,-0.3333333333333333,3
R10,0.25,4
R11,0.0,4
R2,-0.6666666666666666,3
R3,1.0,2
R5,0.0,2
R6,1.0,3
R7,1.0,2
R8,-1.0,1
R9,0.3333333333333333,3
