review_id,n_chunks,features_union,n_unique_aspects,latency_ms_total,latency_ms_avg,num_ok,num_not_ok
ELECTRONICS_000087,1,,0,772.4854946136475,772.4854946136475,0,1
ELECTRONICS_000088,1,,0,809.9339008331299,809.9339008331299,0,1
ELECTRONICS_000089,1,,0,799.2050647735596,799.2050647735596,0,1
ELECTRONICS_000090,1,,0,776.3032913208008,776.3032913208008,0,1
ELECTRONICS_000091,1,,0,833.1685066223145,833.1685066223145,0,1
ELECTRONICS_000092,1,,0,831.7074775695801,831.7074775695801,0,1
ELECTRONICS_000093,1,,0,791.4063930511475,791.4063930511475,0,1
ELECTRONICS_000094,1,,0,836.3058567047119,836.3058567047119,0,1
ELECTRONICS_000095,1,,0,787.2631549835205,787.2631549835205,0,1
ELECTRONICS_000096,2,,0,1599.0021228790283,799.5010614395142,0,2
ELECTRONICS_000097,1,,0,790.2741432189941,790.2741432189941,0,1
ELECTRONICS_000098,1,,0,787.3733043670654,787.3733043670654,0,1
ELECTRONICS_000099,1,,0,769.9368000030518,769.9368000030518,0,1
ELECTRONICS_000100,1,,0,769.0112590789795,769.0112590789795,0,1
ELECTRONICS_000101,2,,0,1580.8980464935303,790.4490232467651,0,2
ELECTRONICS_000102,1,,0,759.1631412506104,759.1631412506104,0,1
ELECTRONICS_000103,1,,0,803.790807723999,803.790807723999,0,1
ELECTRONICS_000104,1,,0,790.3392314910889,790.3392314910889,0,1
ELECTRONICS_000105,1,,0,784.3422889709473,784.3422889709473,0,1
ELECTRONICS_000106,2,,0,1611.6318702697754,805.8159351348877,0,2
ELECTRONICS_000107,1,,0,811.506986618042,811.506986618042,0,1
ELECTRONICS_000108,1,,0,786.0620021820068,786.0620021820068,0,1
ELECTRONICS_000109,1,,0,771.0466384887695,771.0466384887695,0,1
ELECTRONICS_000110,2,,0,1501.9748210906982,750.9874105453491,0,2
ELECTRONICS_000111,1,,0,638.6909484863281,638.6909484863281,0,1
ELECTRONICS_000112,2,,0,1273.5373973846436,636.7686986923218,0,2
ELECTRONICS_000113,1,,0,730.2684783935547,730.2684783935547,0,1
ELECTRONICS_000114,1,,0,779.8910140991211,779.8910140991211,0,1
ELECTRONICS_000115,1,,0,684.6737861633301,684.6737861633301,0,1
ELECTRONICS_000116,1,,0,3383.880376815796,3383.880376815796,0,1
ELECTRONICS_000117,1,,0,810.2655410766602,810.2655410766602,0,1
ELECTRONICS_000118,1,,0,629.8737525939941,629.8737525939941,0,1
ELECTRONICS_000119,1,,0,650.3748893737793,650.3748893737793,0,1
ELECTRONICS_000120,1,,0,683.8374137878418,683.8374137878418,0,1
ELECTRONICS_000121,1,,0,753.9446353912354,753.9446353912354,0,1
ELECTRONICS_000122,1,,0,783.1408977508545,783.1408977508545,0,1
ELECTRONICS_000123,1,,0,755.1677227020264,755.1677227020264,0,1
ELECTRONICS_000124,1,,0,772.1092700958252,772.1092700958252,0,1
ELECTRONICS_000125,1,,0,773.1966972351074,773.1966972351074,0,1
ELECTRONICS_000126,1,,0,706.0859203338623,706.0859203338623,0,1
ELECTRONICS_000127,3,,0,2343.202829360962,781.0676097869873,0,3
ELECTRONICS_000128,1,,0,775.5024433135986,775.5024433135986,0,1
ELECTRONICS_000129,1,,0,786.84401512146,786.84401512146,0,1
ELECTRONICS_000130,1,,0,768.6767578125,768.6767578125,0,1
ELECTRONICS_000131,1,,0,635.2033615112305,635.2033615112305,0,1
ELECTRONICS_000132,2,,0,1499.495267868042,749.747633934021,0,2
ELECTRONICS_000133,1,,0,771.5964317321777,771.5964317321777,0,1
ELECTRONICS_000134,1,,0,737.6599311828613,737.6599311828613,0,1
ELECTRONICS_000135,1,,0,777.0848274230957,777.0848274230957,0,1
ELECTRONICS_000136,1,,0,808.4096908569336,808.4096908569336,0,1
ELECTRONICS_000137,2,,0,1498.0518817901611,749.0259408950806,0,2
ELECTRONICS_000138,1,,0,656.1696529388428,656.1696529388428,0,1
ELECTRONICS_000139,1,,0,719.4406986236572,719.4406986236572,0,1
ELECTRONICS_000140,1,,0,608.2463264465332,608.2463264465332,0,1
ELECTRONICS_000141,1,,0,657.0861339569092,657.0861339569092,0,1
ELECTRONICS_000142,1,,0,732.8383922576904,732.8383922576904,0,1
ELECTRONICS_000143,1,,0,616.0271167755127,616.0271167755127,0,1
ELECTRONICS_000144,1,,0,713.3915424346924,713.3915424346924,0,1
ELECTRONICS_000145,1,,0,646.9833850860596,646.9833850860596,0,1
ELECTRONICS_000146,1,,0,667.9580211639404,667.9580211639404,0,1
ELECTRONICS_000147,1,,0,730.9885025024414,730.9885025024414,0,1
ELECTRONICS_000148,1,,0,761.2943649291992,761.2943649291992,0,1
ELECTRONICS_000149,1,,0,813.1186962127686,813.1186962127686,0,1
ELECTRONICS_000150,2,,0,1407.6611995697021,703.8305997848511,0,2
ELECTRONICS_000151,1,,0,701.568603515625,701.568603515625,0,1
ELECTRONICS_000152,1,,0,611.8299961090088,611.8299961090088,0,1
ELECTRONICS_000153,1,,0,663.8314723968506,663.8314723968506,0,1
ELECTRONICS_000154,1,,0,806.8506717681885,806.8506717681885,0,1
ELECTRONICS_000155,1,,0,714.7986888885498,714.7986888885498,0,1
ELECTRONICS_000156,1,,0,667.5879955291748,667.5879955291748,0,1
ELECTRONICS_000157,1,,0,789.9839878082275,789.9839878082275,0,1
